case_id,condition,verdict_entropy,score_mpad,score_range,k_valid
CASE_KS_001,C2,-0.0,1.3333333333333333,2,3
CASE_KS_002,C2,0.9182958340544896,0.6666666666666666,1,3
CASE_KS_003,C2,-0.0,2.6666666666666665,4,3
CASE_KS_004,C2,-0.0,0.0,0,3
CASE_KS_005,C2,-0.0,0.6666666666666666,1,3
CASE_KS_006,C2,0.9182958340544896,0.6666666666666666,1,3
CASE_KS_007,C2,-0.0,0.0,0,3
CASE_KS_008,C2,-0.0,0.0,0,3
CASE_KS_009,C2,-0.0,0.6666666666666666,1,3
CASE_KS_010,C2,-0.0,1.3333333333333333,2,3
CASE_KS_011,C2,0.9182958340544896,0.6666666666666666,1,3
CASE_KS_012,C2,-0.0,0.6666666666666666,1,3
CASE_KS_013,C2,0.9182958340544896,0.6666666666666666,1,3
CASE_KS_014,C2,-0.0,0.0,0,3
CASE_KS_015,C2,-0.0,0.6666666666666666,1,3
CASE_KS_016,C2,-0.0,0.6666666666666666,1,3
CASE_KS_017,C2,0.9182958340544896,2.6666666666666665,4,3
CASE_KS_018,C2,0.9182958340544896,0.6666666666666666,1,3
CASE_KS_019,C2,-0.0,0.6666666666666666,1,3
CASE_KS_020,C2,0.9182958340544896,1.3333333333333333,2,3
CASE_KS_021,C2,-0.0,1.3333333333333333,2,3
CASE_KS_022,C2,-0.0,0.0,0,3
CASE_KS_023,C2,0.9182958340544896,1.3333333333333333,2,3
CASE_KS_024,C2,0.9182958340544896,0.6666666666666666,1,3
CASE_KS_025,C2,-0.0,1.3333333333333333,2,3
CASE_SYN_001,C2,-0.0,0.6666666666666666,1,3
CASE_SYN_002,C2,-0.0,0.6666666666666666,1,3
CASE_SYN_003,C2,-0.0,0.6666666666666666,1,3
CASE_SYN_004,C2,-0.0,0.0,0,3
CASE_SYN_005,C2,-0.0,0.6666666666666666,1,3
CASE_SYN_006,C2,0.9182958340544896,0.6666666666666666,1,3
CASE_SYN_007,C2,0.9182958340544896,0.6666666666666666,1,3
CASE_SYN_008,C2,-0.0,0.0,0,3
CASE_SYN_009,C2,-0.0,0.6666666666666666,1,3
CASE_SYN_010,C2,-0.0,0.6666666666666666,1,3
CASE_SYN_011,C2,-0.0,0.6666666666666666,1,3
CASE_SYN_012,C2,-0.0,0.6666666666666666,1,3
CASE_SYN_013,C2,-0.0,0.6666666666666666,1,3
CASE_SYN_014,C2,-0.0,0.6666666666666666,1,3
CASE_SYN_015,C2,-0.0,1.3333333333333333,2,3
CASE_SYN_016,C2,-0.0,0.6666666666666666,1,3
CASE_SYN_017,C2,0.9182958340544896,0.6666666666666666,1,3
CASE_SYN_018,C2,-0.0,0.6666666666666666,1,3
CASE_SYN_019,C2,-0.0,0.6666666666666666,1,3
CASE_SYN_020,C2,-0.0,0.6666666666666666,1,3
CASE_SYN_021,C2,-0.0,0.6666666666666666,1,3
CASE_SYN_022,C2,0.9182958340544896,0.6666666666666666,1,3
CASE_SYN_023,C2,0.9182958340544896,0.6666666666666666,1,3
CASE_SYN_024,C2,-0.0,0.6666666666666666,1,3
CASE_SYN_025,C2,0.9182958340544896,1.3333333333333333,2,3
