case_id,condition,verdict_entropy,score_mpad,score_range,k_valid
CASE_KS_001,C2,-0.0,1.3333333333333333,2,3
CASE_KS_002,C2,-0.0,1.3333333333333333,2,3
CASE_KS_003,C2,-0.0,2.6666666666666665,4,3
CASE_KS_004,C2,-0.0,0.0,0,3
CASE_KS_005,C2,-0.0,0.6666666666666666,1,3
CASE_KS_006,C2,-0.0,2.0,3,3
CASE_KS_007,C2,-0.0,0.6666666666666666,1,3
CASE_KS_008,C2,0.9182958340544896,2.0,3,3
CASE_KS_009,C2,0.9182958340544896,2.0,3,3
CASE_KS_010,C2,-0.0,2.0,3,3
CASE_KS_011,C2,-0.0,1.3333333333333333,2,3
CASE_KS_012,C2,0.9182958340544896,2.0,3,3
CASE_KS_013,C2,0.9182958340544896,2.0,3,3
CASE_KS_014,C2,-0.0,2.6666666666666665,4,3
CASE_KS_015,C2,0.9182958340544896,2.6666666666666665,4,3
CASE_KS_016,C2,-0.0,0.0,0,3
CASE_KS_017,C2,-0.0,0.0,0,3
CASE_KS_018,C2,-0.0,1.3333333333333333,2,3
CASE_KS_019,C2,-0.0,2.0,3,3
CASE_KS_020,C2,0.9182958340544896,2.6666666666666665,4,3
CASE_KS_021,C2,0.9182958340544896,2.0,3,3
CASE_KS_022,C2,0.9182958340544896,2.0,3,3
CASE_KS_023,C2,-0.0,1.3333333333333333,2,3
CASE_KS_024,C2,0.9182958340544896,1.3333333333333333,2,3
CASE_KS_025,C2,0.9182958340544896,2.0,3,3
CASE_KS_026,C2,-0.0,1.3333333333333333,2,3
CASE_KS_027,C2,-0.0,2.0,3,3
CASE_KS_028,C2,-0.0,0.0,0,3
CASE_KS_029,C2,-0.0,1.3333333333333333,2,3
CASE_KS_030,C2,0.9182958340544896,1.3333333333333333,2,3
CASE_KS_031,C2,0.9182958340544896,0.6666666666666666,1,3
CASE_KS_032,C2,0.9182958340544896,2.0,3,3
CASE_KS_033,C2,-0.0,1.3333333333333333,2,3
CASE_KS_034,C2,0.9182958340544896,2.0,3,3
CASE_KS_035,C2,-0.0,1.3333333333333333,2,3
CASE_KS_036,C2,0.9182958340544896,2.0,3,3
CASE_KS_037,C2,-0.0,0.0,0,3
CASE_KS_038,C2,-0.0,0.0,0,3
CASE_KS_039,C2,0.9182958340544896,2.0,3,3
CASE_KS_040,C2,-0.0,1.3333333333333333,2,3
CASE_SYNTH_001_N,C2,-0.0,0.0,0,3
CASE_SYNTH_001_P,C2,-0.0,1.3333333333333333,2,3
CASE_SYNTH_002_S,C2,0.9182958340544896,0.6666666666666666,1,3
CASE_SYNTH_002_W,C2,0.9182958340544896,4.0,6,3
CASE_SYNTH_003_B,C2,-0.0,0.6666666666666666,1,3
CASE_SYNTH_003_N,C2,-0.0,0.6666666666666666,1,3
CASE_SYNTH_004_A,C2,0.9182958340544896,0.6666666666666666,1,3
CASE_SYNTH_004_C,C2,-0.0,0.0,0,3
CASE_SYNTH_005_H,C2,0.9182958340544896,3.3333333333333335,5,3
CASE_SYNTH_005_L,C2,0.9182958340544896,0.6666666666666666,1,3
